EmployeeId,age,occupation
2318985,40,7315
1184341,52,7330
1874622,67,9350
1722288,30,800
1614945,58,4700
2228282,36,4110
2548079,62,2000
443581,22,5400
974638,74,800
2087465,31,2310
102976,49,5700
1253455,16,4020
538633,37,9130
2707141,29,5400
136998,49,430
773107,29,4250
1230240,27,4140
1337325,53,120
332365,59,430
1893000,24,6260
2117191,43,4620
2900707,21,4640
2068403,63,6260
2003500,43,4620
3103435,59,4020
453989,32,3255
1294467,60,9620
321048,56,3730
909590,18,5240
413361,59,2010
2064329,52,2540
507064,69,2320
1232463,31,4820
2751689,45,4020
1349918,34,430
454955,73,2040
265824,35,9130
125585,52,8320
730822,22,9830
806300,47,6355
2891772,58,2310
1958128,60,3255
1716686,21,4720
941255,26,4110
2996456,48,700
3183317,20,3955
2206034,23,140
2279800,25,8710
2663000,65,4230
2852935,57,2010
2898952,65,5700
102130,20,5160
2498286,63,5160
1036250,51,2160
2753779,25,2340
1292980,49,9130
1188871,79,5310
746591,58,430
2253050,33,9130
685738,57,120
53923,20,4050
2343295,39,430
1615921,33,3500
604167,63,4850
1389664,34,3740
22162,44,4510
1626221,54,220
1045843,58,5620
1485933,16,4060
2682638,28,1460
1504331,56,205
1254758,56,5860
2349821,42,5240
2032706,61,4220
424783,28,2025
23545,61,5600
1145896,55,5700
1569533,59,6320
1954010,49,110
705626,44,430
1328175,16,3955
84137,46,810
1520888,61,5120
166470,46,2630
484726,57,3250
2341807,38,7750
572704,55,50
926772,34,6420
2183592,54,6730
958451,18,9920
278738,42,1610
1417866,38,800
959666,31,4220
2138161,28,2200
2846143,28,630
2106256,47,8140
1455724,50,7800
2356127,63,4540
2836402,36,430
2725757,62,800
938213,23,3930
2420728,29,9130
791617,42,8320
2990090,27,20
2055252,61,4600
2981743,50,2440
1766236,44,4850
544620,71,410
2726435,35,3600
2299728,19,7750
2651861,79,800
1896140,52,4710
1210029,67,6320
1864324,42,2000
2738900,42,3300
721271,23,5300
2762907,49,7430
93159,51,6330
3003142,70,4760
1260222,38,5610
159868,55,4250
2626208,29,8620
593514,31,5860
1316839,43,9130
502417,53,430
775877,34,5400
2493213,48,2200
2747237,33,1520
2966722,25,9410
355233,25,4220
259973,76,4250
1415720,51,3050
1919225,39,230
779775,47,9640
3009817,47,2320
725067,40,137
1687580,70,810
2035124,63,3245
291152,21,2340
2473339,46,10
2800851,16,3955
2945326,60,2850
254696,49,8220
2414149,37,3500
1243101,38,1820
1781959,46,2320
163283,77,410
705871,51,50
2264299,57,630
1985605,42,5700
1023555,62,4230
2051111,36,5330
1403119,51,430
266812,75,2320
891380,31,4760
1361217,63,2340
2983708,59,9140
1891604,28,5520
2828211,62,4700
81191,36,3255
1490972,38,1760
1440279,49,735
729702,67,7240
826039,26,110
2280932,37,4965
1601883,59,9620
2183662,26,4700
1223510,24,5810
940988,48,4720
2379919,16,4720
390114,71,5260
1791590,58,6260
59327,23,4220
2584346,63,2310
2574581,66,430
486510,31,50
938510,33,5700
1360854,27,2900
1325022,19,4220
1176682,60,7720
2222241,65,4610
2988500,18,9130
845778,57,4840
3168977,47,2630
1453069,21,9130
2972628,41,700
3018004,63,430
2727176,40,136
2220423,28,2200
701391,69,20
18218,40,6200
767128,45,7750
2924826,49,3060
725589,59,9130
2046420,56,3420
2985443,52,430
43555,64,9120
3049234,69,5610
1690158,75,5860
1187268,27,7200
1684455,76,5620
1565546,64,4610
2950202,24,2300
1978246,60,4220
679667,53,3420
2584054,22,9830
2915382,21,2000
486724,44,4510
1486780,47,1460
823098,59,710
850047,53,6420
1025839,62,3500
1031565,54,1550
1440485,67,2200
155516,34,430
2837764,58,2000
1053288,37,8220
2822965,56,420
2651662,22,6260
206789,44,430
1721571,67,7810
3138927,55,3730
1462535,63,136
2586662,22,1530
1183492,68,3255
1412656,29,160
2035677,40,5860
310331,58,9620
2384941,56,5550
223720,39,4760
2435311,30,6440
1865733,32,2010
2770857,66,2000
3089139,37,5240
2908170,22,9640
537556,41,1300
1290165,24,4150
2124216,39,5000
2404885,32,6260
2812798,32,310
2356720,42,6260
536865,54,120
1269422,36,430
1339063,65,5120
793173,48,4600
1679916,49,4720
1534636,36,3400
2734793,22,4510
240333,56,6200
1620645,34,7420
312403,57,300
3015034,32,3050
246262,62,4610
858879,65,120
2574342,49,5240
1265537,32,9830
1198622,48,5630
1749387,48,6230
3167576,25,4840
3065835,36,2340
1993429,76,1460
969782,39,9600
753509,61,230
2964181,26,5550
376310,71,410
489189,16,4760
2489787,45,2160
3147532,42,9620
1590801,29,4760
2793403,29,3710
1043635,61,5550
567141,38,5860
499286,48,800
2789070,67,5860
1790775,22,4750
479572,23,1020
301767,47,710
1833544,57,8740
990996,56,150
912044,32,5620
2036314,48,4610
1863599,42,4920
1702065,16,3955
2177274,35,2010
703644,22,1550
1906217,19,6260
2248666,45,136
2172413,19,4150
1759388,58,5410
2213381,43,9640
2276079,30,1460
2575732,18,3655
2701380,62,1010
2239264,54,9130
1980239,23,50
1984159,57,9920
1997962,62,2720
356956,45,220
2439477,54,6050
1997513,62,3255
